sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
51658,30,Ascomycota,Ascomycota,Caval.-Sm,51657,Fungi,1
51659,30,Basidiomycota,Basidiomycota,,51657,Fungi,1
127110,40,Pezizomycotina,Pezizomycotina,O.E. Erikss & Winka,51658,Ascomycota,1
51660,60,Ascomycetes,Ascomycetes,,51658,Ascomycota,1
51661,60,Basidiomycetes,Basidiomycetes,,51659,Basidiomycota,1
51662,60,Ustomycetes,Ustomycetes,,51659,Basidiomycota,1
127041,60,Leotiomycetes,Leotiomycetes,O. E. Erikss. & Winka,127110,Pezizomycotina,1
127111,60,Sordariomycetes,Sordariomycetes,O.E. Erikss. & Winka,127110,Pezizomycotina,1
127136,60,Dothideomycetes,Dothideomycetes,O. E. Erikss. & Winka,127110,Pezizomycotina,1
127138,60,Lecanoromycetes,Lecanoromycetes,O.E. Erikss. & Winka,127110,Pezizomycotina,1
127140,60,Eurotiomycetes,Eurotiomycetes,Tehler ex O. E. Eriksson & K. Winka,127110,Pezizomycotina,1
127289,60,Arthoniomycetes,Arthoniomycetes,O.E. Erikss & Winka,127110,Pezizomycotina,1
127292,60,Lichinomycetes,Lichinomycetes,"Reeb, Lutzoni & Cl. Roux",127110,Pezizomycotina,1
127348,60,Lecanoromycetes,Lecanoromycetes,,127138,Lecanoromycetes,1
127042,70,Leotiomycetidae,Leotiomycetidae,,127041,Leotiomycetes,1
127112,70,Xylariomycetidae,Xylariomycetidae,O.E. Erikss & Winka,127111,Sordariomycetes,1
127141,70,Chaetothyriomycetidae,Chaetothyriomycetidae,Doweld,127140,Eurotiomycetes,1
127295,70,Mycocaliciomycetidae,Mycocaliciomycetidae,Tibell,127140,Eurotiomycetes,1
127298,70,Acarosporomycetidae,Acarosporomycetidae,"Reeb, Lutzoni & Cl. Roux",127138,Lecanoromycetes,1
127300,70,Ostropomycetidae,Ostropomycetidae,"Reeb, Lutzoni & Cl. Roux",127138,Lecanoromycetes,1
127302,70,Lecanoromycetidae,Lecanoromycetidae,"P. M. Kirk, P. F. Cannon, J. C. David & Stalpers ex Miadl., Lutzoni & Lumbsch",127138,Lecanoromycetes,1
127314,70,Hypocreomycetidae,Hypocreomycetidae,O. E. Erikss. & Winka,127111,Sordariomycetes,1
127324,70,Dothideomycetidae,Dothideomycetidae,"P. M. Kirk, P. F. Cannon, J. C. David & J. A. Stalpers ex C. L. Schoch, Spatafora, Crous & Shoemaker",127136,Dothideomycetes,1
