sourceid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5571,10,Plantae,Plantae,,5571,Plantae,1
1,10,Monera,Monera,,1,Monera,1
2,10,Protista,Protista,,2,Protista,1
3,10,Chromista,Chromista,,3,Chromista,1
5569,20,Tracheobionta,Tracheobionta,,5571,Plantae,1
234069,20,Tracheophytes,Tracheophytes,,5571,Plantae,1
5561,30,Equisetophyta,Equisetophyta,,5569,Tracheobionta,1
5562,30,Pteridophyta,Pteridophyta,,5569,Tracheobionta,1
5563,30,Lycopodiophyta,Lycopodiophyta,,5569,Tracheobionta,1
5564,30,Coniferophyta,Coniferophyta,,5569,Tracheobionta,1
5565,30,Psilophyta,Psilophyta,,5569,Tracheobionta,1
5568,30,Gnetophyta,Gnetophyta,,5569,Tracheobionta,1
5570,30,Magnoliophyta,Magnoliophyta,,5571,Plantae,1
16368,30,Cycadophyta,Cycadophyta,,5569,Tracheobionta,1
16600,30,Bryophyta,Bryophyta,,5571,Plantae,1
16601,30,Psilotophyta,Psilotophyta,,5571,Plantae,1
16602,30,Hepatophyta,Hepatophyta,,5571,Plantae,1
16603,30,Polypodiophyta,Polypodiophyta,,5571,Plantae,1
16604,30,Bacillariophyta,Bacillariophyta,,5571,Plantae,1
16605,30,Pyrrophycophyta,Pyrrophycophyta,,5571,Plantae,1
32073,30,Anthocerotophyta,Anthocerotophyta,,5571,Plantae,1
32987,30,Ginkgophyta,Ginkgophyta,,5571,Plantae,1
164428,30,Chlorophyta,Chlorophyta,,5571,Plantae,1
164449,30,Rhodophyta,Rhodophyta,,5571,Plantae,1
164451,30,Streptophyta,Streptophyta,,5571,Plantae,1
164528,30,Cyanobacteria,Cyanobacteria,,164526,Monera,1
164529,30,Euglenozoa,Euglenozoa,,164527,Protista,1
164530,30,Heterokontophyta,Heterokontophyta,,164525,Chromista,1
234342,30,Spermatophyta,Spermatophyta,,234069,Tracheophytes,1
234309,35,AnitaGradeClade1,AnitaGradeClade1,,5570,Magnoliophyta,1
234371,35,AnitaGradeClade2,AnitaGradeClade2,,5570,Magnoliophyta,1
16404,40,Anthocerotae,Anthocerotae,,32073,Anthocerotophyta,1
16629,40,Musci,Musci,,16600,Bryophyta,1
16634,40,Hepaticae,Hepaticae,,16602,Hepatophyta,1
234393,45,Monocots,Monocots,,5570,Magnoliophyta,1
234401,45,Eudicots,Eudicots,,5570,Magnoliophyta,1
5544,60,Equisetopsida,Equisetopsida,,5561,Equisetophyta,1
5545,60,Filicopsida,Filicopsida,,5562,Pteridophyta,1
5546,60,Lycopodiopsida,Lycopodiopsida,,5563,Lycopodiophyta,1
5547,60,Pinopsida,Pinopsida,,5564,Coniferophyta,1
5548,60,Psilopsida,Psilopsida,,5565,Psilophyta,1
5553,60,Gnetopsida,Gnetopsida,,5568,Gnetophyta,1
5566,60,Liliopsida,Liliopsida,,5570,Magnoliophyta,1
5567,60,Magnoliopsida,Magnoliopsida,,5570,Magnoliophyta,1
16369,60,Cycadopsida,Cycadopsida,,16368,Cycadophyta,1
16463,60,Coniferopsida,Coniferopsida,,5564,Coniferophyta,1
16464,60,Taxopsida,Taxopsida,,5564,Coniferophyta,1
16465,60,Cordaitopsida,Cordaitopsida,,5564,Coniferophyta,1
16627,60,Psilotopsida,Psilotopsida,,16601,Psilotophyta,1
16633,60,Hepaticopsida,Hepaticopsida,,16600,Bryophyta,1
16666,60,Bacillariophyceae,Bacillariophyceae,,16604,Bacillariophyta,1
16667,60,Fragilariophyceae,Fragilariophyceae,,16604,Bacillariophyta,1
16669,60,Dinophyceae,Dinophyceae,,16605,Pyrrophycophyta,1
16670,60,Anthocerotopsida,Anthocerotopsida,,16404,Anthocerotae,1
16698,60,Bryopsida,Bryopsida,,16629,Musci,1
16699,60,Sphagnopsida,Sphagnopsida,,16629,Musci,1
16700,60,Andreaeopsida,Andreaeopsida,,16629,Musci,1
16703,60,Hepatopsida,Hepatopsida,,16634,Hepaticae,1
32988,60,Ginkgoopsida,Ginkgoopsida,,32987,Ginkgophyta,1
164429,60,Charophyceae,Charophyceae,,164428,Chlorophyta,1
164443,60,Chlorophyceae,Chlorophyceae,,164428,Chlorophyta,1
164444,60,Coscinodiscophyceae,Coscinodiscophyceae,,16604,Bacillariophyta,1
164454,60,Trebouxiophyceae,Trebouxiophyceae,,164428,Chlorophyta,1
164455,60,Ulvophyceae,Ulvophyceae,,164428,Chlorophyta,1
164461,60,Coleochaetophyceae,Coleochaetophyceae,,164451,Streptophyta,1
164462,60,Florideophyceae,Florideophyceae,,164449,Rhodophyta,1
164468,60,Mesostigmatophyceae,Mesostigmatophyceae,,164451,Streptophyta,1
164483,60,Zygnematophyceae,Zygnematophyceae,,164451,Streptophyta,1
164531,60,Chrysophyceae,Chrysophyceae,,164530,Heterokontophyta,1
164532,60,Cyanophyceae,Cyanophyceae,,164528,Cyanobacteria,1
164533,60,Euglenophyceae,Euglenophyceae,,164529,Euglenozoa,1
164534,60,Xanthophyceae,Xanthophyceae,,164530,Heterokontophyta,1
233265,60,Marattiopsida,Marattiopsida,,5562,Pteridophyta,1
233657,60,Polypodiopsida,Polypodiopsida,,5562,Pteridophyta,1
234435,65,CoreEudicots,CoreEudicots,,234401,Eudicots,1
5549,70,Zingiberidae,Zingiberidae,,5566,Liliopsida,1
5550,70,Asteridae,Asteridae,,5567,Magnoliopsida,1
5551,70,Alismatidae,Alismatidae,,5566,Liliopsida,1
5552,70,Commelinidae,Commelinidae,,5566,Liliopsida,1
5554,70,Magnoliidae,Magnoliidae,,5567,Magnoliopsida,1
5555,70,Rosidae,Rosidae,,5567,Magnoliopsida,1
5556,70,Hamamelidae,Hamamelidae,,5567,Magnoliopsida,1
5557,70,Caryophyllidae,Caryophyllidae,,5567,Magnoliopsida,1
5558,70,Arecidae,Arecidae,,5566,Liliopsida,1
5559,70,Liliidae,Liliidae,,5566,Liliopsida,1
5560,70,Dilleniidae,Dilleniidae,,5567,Magnoliopsida,1
16468,70,Hamamelididae,Hamamelididae,,5567,Magnoliopsida,1
16702,70,Jungermanniidae,Jungermanniidae,,16633,Hepaticopsida,1
16752,70,Marchantiae,Marchantiae,,16703,Hepatopsida,1
16753,70,Jungermanniae,Jungermanniae,,16703,Hepatopsida,1
16811,70,Sphagnidae,Sphagnidae,,16699,Sphagnopsida,1
16812,70,Andreaeidae,Andreaeidae,,16700,Andreaeopsida,1
16814,70,Bryidae,Bryidae,,16698,Bryopsida,1
234392,75,Magnoliids,Magnoliids,,5570,Magnoliophyta,1
