sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
51658,4,30,Ascomycota,Ascomycota,Caval.-Sm,51657,Fungi,1
51659,4,30,Basidiomycota,Basidiomycota,NULL,51657,Fungi,1
127110,4,40,Pezizomycotina,Pezizomycotina,"O.E. Erikss & Winka",51658,Ascomycota,1
51660,4,60,Ascomycetes,Ascomycetes,NULL,51658,Ascomycota,1
51661,4,60,Basidiomycetes,Basidiomycetes,NULL,51659,Basidiomycota,1
51662,4,60,Ustomycetes,Ustomycetes,NULL,51659,Basidiomycota,1
127041,4,60,Leotiomycetes,Leotiomycetes,"O. E. Erikss. & Winka",127110,Pezizomycotina,1
127111,4,60,Sordariomycetes,Sordariomycetes,"O.E. Erikss. & Winka",127110,Pezizomycotina,1
127136,4,60,Dothideomycetes,Dothideomycetes,"O. E. Erikss. & Winka",127110,Pezizomycotina,1
127138,4,60,Lecanoromycetes,Lecanoromycetes,"O.E. Erikss. & Winka",127110,Pezizomycotina,1
127140,4,60,Eurotiomycetes,Eurotiomycetes,"Tehler ex O. E. Eriksson & K. Winka",127110,Pezizomycotina,1
127289,4,60,Arthoniomycetes,Arthoniomycetes,"O.E. Erikss & Winka",127110,Pezizomycotina,1
127292,4,60,Lichinomycetes,Lichinomycetes,"Reeb, Lutzoni & Cl. Roux",127110,Pezizomycotina,1
127348,4,60,"Lecanoromycetes, orders incertae sedis","Lecanoromycetes,",NULL,127138,Lecanoromycetes,1
127042,4,70,Leotiomycetidae,Leotiomycetidae,NULL,127041,Leotiomycetes,1
127112,4,70,Xylariomycetidae,Xylariomycetidae,"O.E. Erikss & Winka",127111,Sordariomycetes,1
127141,4,70,Chaetothyriomycetidae,Chaetothyriomycetidae,Doweld,127140,Eurotiomycetes,1
127295,4,70,Mycocaliciomycetidae,Mycocaliciomycetidae,Tibell,127140,Eurotiomycetes,1
127298,4,70,Acarosporomycetidae,Acarosporomycetidae,"Reeb, Lutzoni & Cl. Roux",127138,Lecanoromycetes,1
127300,4,70,Ostropomycetidae,Ostropomycetidae,"Reeb, Lutzoni & Cl. Roux",127138,Lecanoromycetes,1
127302,4,70,Lecanoromycetidae,Lecanoromycetidae,"P. M. Kirk, P. F. Cannon, J. C. David & Stalpers ex Miadl., Lutzoni & Lumbsch",127138,Lecanoromycetes,1
127314,4,70,Hypocreomycetidae,Hypocreomycetidae,"O. E. Erikss. & Winka",127111,Sordariomycetes,1
127324,4,70,Dothideomycetidae,Dothideomycetidae,"P. M. Kirk, P. F. Cannon, J. C. David & J. A. Stalpers ex C. L. Schoch, Spatafora, Crous & Shoemaker",127136,Dothideomycetes,1
127362,4,70,Pleosporomycetidae,Pleosporomycetidae,"C. L. Schoch, Spatafora, Crous & Shoemaker",127136,Dothideomycetes,1
127368,4,70,Sordariomycetidae,Sordariomycetidae,"O. E. Erikss. & Winka",127111,Sordariomycetes,1
51663,4,100,Arthoniales,Arthoniales,"Henssen ex D. Hawksw. & O. E. Erikss.",127289,Arthoniomycetes,1
51665,4,100,Capnodiales,Capnodiales,Woron.,127324,Dothideomycetidae,1
51666,4,100,Dothideales,Dothideales,NULL,127136,Dothideomycetes,1
51667,4,100,Eurotiales,Eurotiales,NULL,127140,Eurotiomycetes,1
51670,4,100,Hypocreales,Hypocreales,Lindau,127314,Hypocreomycetidae,1
51671,4,100,Lecanorales,Lecanorales,Nannf.,127302,Lecanoromycetidae,1
51673,4,100,Lichinales,Lichinales,"Henssen & Budel",127292,Lichinomycetes,1
51675,4,100,Onygenales,Onygenales,NULL,127140,Eurotiomycetes,1
51677,4,100,Ostropales,Ostropales,Nannf.,127300,Ostropomycetidae,1
51678,4,100,Patellariales,Patellariales,NULL,127136,Dothideomycetes,1
