sourceid,kingdomid,rankid,sciname,unitname1,author,sourceparentid,parentstr,acceptance
5571,3,10,Plantae,Plantae,NULL,5571,Plantae,1
5569,3,20,Tracheobionta,Tracheobionta,NULL,5571,Plantae,1
234069,3,20,Tracheophytes,Tracheophytes,NULL,5571,Plantae,1
5561,3,30,Equisetophyta,Equisetophyta,NULL,5569,Tracheobionta,1
5562,3,30,Pteridophyta,Pteridophyta,NULL,5569,Tracheobionta,1
5563,3,30,Lycopodiophyta,Lycopodiophyta,NULL,5569,Tracheobionta,1
5564,3,30,Coniferophyta,Coniferophyta,NULL,5569,Tracheobionta,1
5565,3,30,Psilophyta,Psilophyta,NULL,5569,Tracheobionta,1
5568,3,30,Gnetophyta,Gnetophyta,NULL,5569,Tracheobionta,1
5570,3,30,Magnoliophyta,Magnoliophyta,NULL,5571,Plantae,1
16368,3,30,Cycadophyta,Cycadophyta,NULL,5569,Tracheobionta,1
16600,3,30,Bryophyta,Bryophyta,NULL,5571,Plantae,1
16601,3,30,Psilotophyta,Psilotophyta,NULL,5571,Plantae,1
16602,3,30,Hepatophyta,Hepatophyta,NULL,5571,Plantae,1
16603,3,30,Polypodiophyta,Polypodiophyta,NULL,5571,Plantae,1
16604,3,30,Bacillariophyta,Bacillariophyta,NULL,5571,Plantae,1
16605,3,30,Pyrrophycophyta,Pyrrophycophyta,NULL,5571,Plantae,1
32073,3,30,Anthocerotophyta,Anthocerotophyta,NULL,5571,Plantae,1
32987,3,30,Ginkgophyta,Ginkgophyta,NULL,5571,Plantae,1
164428,3,30,Chlorophyta,Chlorophyta,NULL,5571,Plantae,1
164449,3,30,Rhodophyta,Rhodophyta,NULL,5571,Plantae,1
164451,3,30,Streptophyta,Streptophyta,NULL,5571,Plantae,1
164528,3,30,Cyanobacteria,Cyanobacteria,NULL,164526,Bacteria,1
164529,3,30,Euglenozoa,Euglenozoa,NULL,164527,Protozoa,1
164530,3,30,Heterokontophyta,Heterokontophyta,NULL,164525,Chromista,1
234342,3,30,Spermatophyta,Spermatophyta,NULL,234069,Tracheophytes,1
234108,3,35,unnamed clade 31,unnamed clade 31,NULL,5570,Magnoliophyta,1
234309,3,35,Anita Grade clade 1,Anita Grade clade 1,NULL,5570,Magnoliophyta,1
234347,3,35,unnamed clade 33,unnamed clade 33,NULL,5570,Magnoliophyta,1
234371,3,35,Anita Grade clade 2,Anita Grade clade 2,NULL,5570,Magnoliophyta,1
234377,3,35,unnamed clade 35,unnamed clade 35,NULL,5570,Magnoliophyta,1
234388,3,35,unnamed clade 39a,unnamed clade 39a,NULL,5570,Magnoliophyta,1
234389,3,35,unnamed clade 39b,unnamed clade 39b,NULL,5570,Magnoliophyta,1
16404,3,40,Anthocerotae,Anthocerotae,NULL,32073,Anthocerotophyta,1
16629,3,40,Musci,Musci,NULL,16600,Bryophyta,1
16634,3,40,Hepaticae,Hepaticae,NULL,16602,Hepatophyta,1
234393,3,45,Monocots,Monocots,NULL,5570,Magnoliophyta,1
234394,3,45,unnamed clade 41,unnamed clade 41,NULL,5570,Magnoliophyta,1
234401,3,45,Eudicots,Eudicots,NULL,5570,Magnoliophyta,1
234402,3,45,unnamed clade 45a,unnamed clade 45a,NULL,234393,Monocots,1
234403,3,45,unnamed clade 45b,unnamed clade 45b,NULL,234393,Monocots,1
234404,3,45,unnamed clade 55,unnamed clade 55,NULL,5570,Magnoliophyta,1
234408,3,45,unnamed clade 47a,unnamed clade 47a,NULL,234393,Monocots,1
234409,3,45,unnamed clade 47b,unnamed clade 47b,NULL,234393,Monocots,1
234410,3,45,unnamed clade 57a,unnamed clade 57a,NULL,234401,Eudicots,1
234411,3,45,unnamed clade 57b,unnamed clade 57b,NULL,234401,Eudicots,1
234413,3,45,unnamed clade 49a,unnamed clade 49a,NULL,234393,Monocots,1
234414,3,45,unnamed clade 49b,unnamed clade 49b,NULL,234393,Monocots,1
234415,3,45,unnamed clade 59a,unnamed clade 59a,NULL,234401,Eudicots,1
234416,3,45,unnamed clade 59b,unnamed clade 59b,NULL,234401,Eudicots,1
234420,3,45,unnamed clade 51a,unnamed clade 51a,NULL,234393,Monocots,1
234421,3,45,unnamed clade 51b,unnamed clade 51b,NULL,234393,Monocots,1
234428,3,45,unnamed clade 53a,unnamed clade 53a,NULL,234393,Monocots,1
234429,3,45,unnamed clade 53b,unnamed clade 53b,NULL,234393,Monocots,1
5544,3,60,Equisetopsida,Equisetopsida,NULL,5561,Equisetophyta,1
5545,3,60,Filicopsida,Filicopsida,NULL,5562,Pteridophyta,1
5546,3,60,Lycopodiopsida,Lycopodiopsida,NULL,5563,Lycopodiophyta,1
5547,3,60,Pinopsida,Pinopsida,NULL,5564,Coniferophyta,1
5548,3,60,Psilopsida,Psilopsida,NULL,5565,Psilophyta,1
5553,3,60,Gnetopsida,Gnetopsida,NULL,5568,Gnetophyta,1
5566,3,60,Liliopsida,Liliopsida,NULL,5570,Magnoliophyta,1
5567,3,60,Magnoliopsida,Magnoliopsida,NULL,5570,Magnoliophyta,1
16369,3,60,Cycadopsida,Cycadopsida,NULL,16368,Cycadophyta,1
16463,3,60,Coniferopsida,Coniferopsida,NULL,5564,Coniferophyta,1
16464,3,60,Taxopsida,Taxopsida,NULL,5564,Coniferophyta,1
16465,3,60,Cordaitopsida,Cordaitopsida,NULL,5564,Coniferophyta,1
16627,3,60,Psilotopsida,Psilotopsida,NULL,16601,Psilotophyta,1
16633,3,60,Hepaticopsida,Hepaticopsida,NULL,16600,Bryophyta,1
16666,3,60,Bacillariophyceae,Bacillariophyceae,NULL,16604,Bacillariophyta,1
16667,3,60,Fragilariophyceae,Fragilariophyceae,NULL,16604,Bacillariophyta,1
16669,3,60,Dinophyceae,Dinophyceae,NULL,16605,Pyrrophycophyta,1
16670,3,60,Anthocerotopsida,Anthocerotopsida,NULL,16404,Anthocerotae,1
16698,3,60,Bryopsida,Bryopsida,NULL,16629,Musci,1
16699,3,60,Sphagnopsida,Sphagnopsida,NULL,16629,Musci,1
16700,3,60,Andreaeopsida,Andreaeopsida,NULL,16629,Musci,1
16703,3,60,Hepatopsida,Hepatopsida,NULL,16634,Hepaticae,1
32988,3,60,Ginkgoopsida,Ginkgoopsida,NULL,32987,Ginkgophyta,1
164429,3,60,Charophyceae,Charophyceae,NULL,164428,Chlorophyta,1
164443,3,60,Chlorophyceae,Chlorophyceae,NULL,164428,Chlorophyta,1
164444,3,60,Coscinodiscophyceae,Coscinodiscophyceae,NULL,16604,Bacillariophyta,1
164454,3,60,Trebouxiophyceae,Trebouxiophyceae,NULL,164428,Chlorophyta,1
164455,3,60,Ulvophyceae,Ulvophyceae,NULL,164428,Chlorophyta,1
164461,3,60,Coleochaetophyceae,Coleochaetophyceae,NULL,164451,Streptophyta,1
164462,3,60,Florideophyceae,Florideophyceae,NULL,164449,Rhodophyta,1
164468,3,60,Mesostigmatophyceae,Mesostigmatophyceae,NULL,164451,Streptophyta,1
164483,3,60,Zygnematophyceae,Zygnematophyceae,NULL,164451,Streptophyta,1
164531,3,60,Chrysophyceae,Chrysophyceae,NULL,164530,Heterokontophyta,1
164532,3,60,Cyanophyceae,Cyanophyceae,NULL,164528,Cyanobacteria,1
164533,3,60,Euglenophyceae,Euglenophyceae,NULL,164529,Euglenozoa,1
164534,3,60,Xanthophyceae,Xanthophyceae,NULL,164530,Heterokontophyta,1
233265,3,60,Marattiopsida,Marattiopsida,NULL,5562,Pteridophyta,1
233657,3,60,Polypodiopsida,Polypodiopsida,NULL,5562,Pteridophyta,1
234422,3,65,unnamed clade 61a,unnamed clade 61a,NULL,234401,Eudicots,1
234423,3,65,unnamed clade 61b,unnamed clade 61b,NULL,234401,Eudicots,1
234430,3,65,unnamed clade 63a,unnamed clade 63a,NULL,234401,Eudicots,1
234431,3,65,unnamed clade 63b,unnamed clade 63b,NULL,234401,Eudicots,1
234435,3,65,Core Eudicots,Core Eudicots,NULL,234401,Eudicots,1
234437,3,65,unnamed clade 65,unnamed clade 65,NULL,234401,Eudicots,1
234443,3,65,unnamed clade 67a,unnamed clade 67a,NULL,234435,Core Eudicots,1
234444,3,65,unnamed clade 67b,unnamed clade 67b,NULL,234435,Core Eudicots,1
5549,3,70,Zingiberidae,Zingiberidae,NULL,5566,Liliopsida,1
5550,3,70,Asteridae,Asteridae,NULL,5567,Magnoliopsida,1
5551,3,70,Alismatidae,Alismatidae,NULL,5566,Liliopsida,1
5552,3,70,Commelinidae,Commelinidae,NULL,5566,Liliopsida,1
5554,3,70,Magnoliidae,Magnoliidae,NULL,5567,Magnoliopsida,1
5555,3,70,Rosidae,Rosidae,NULL,5567,Magnoliopsida,1
5556,3,70,Hamamelidae,Hamamelidae,NULL,5567,Magnoliopsida,1
5557,3,70,Caryophyllidae,Caryophyllidae,NULL,5567,Magnoliopsida,1
5558,3,70,Arecidae,Arecidae,NULL,5566,Liliopsida,1
5559,3,70,Liliidae,Liliidae,NULL,5566,Liliopsida,1
5560,3,70,Dilleniidae,Dilleniidae,NULL,5567,Magnoliopsida,1
16468,3,70,Hamamelididae,Hamamelididae,NULL,5567,Magnoliopsida,1
